STT,product_id,name,brand,type,price,warranty_info,feature,voice_control,microphone,battery_life,dimensions,weight,compatibility
11,57473,Tai nghe Bluetooth True Wireless JBL Tour Pro 2,JBL,Tai nghe Bluetooth,5990000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Xuyên âm, Có mic đàm thoại",Màn hình cảm ứng 1.45 inch,Có (6 micro),Tai nghe: 10 giờ<br>Hộp sạc: 30 giờ (Tắt ANC),,Tai nghe: 12.2 g<br>Hộp sạc: 73 g,Các thiết bị có hỗ trợ Bluetooth
12,49039,Tai nghe Bluetooth True Wireless Samsung Galaxy Buds2 Pro ,Samsung Chính hãng,Tai nghe Bluetooth,4990000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại, Sạc không dây",Chạm cảm ứng,Có,Tai nghe: Dùng 5 giờ<br>Hộp sạc: Dùng 18 giờ (Tắt ANC),Tai nghe: 21.6 x 19.9 x 18.7 mm<br>Hộp sạc: 50.2 x 50.1 x 27.7 mm,Tai nghe: 5.5 g<br>Hộp sạc: 43.4 g,Các thiết bị có hỗ trợ Bluetooth
13,68414,Tai nghe Bluetooth True Wireless Anker Soundcore R50i A3949,Anker,Tai nghe Bluetooth,525000,Bảo hành 18 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX.,Có mic đàm thoại,,Có<br>2 mic ,Tai nghe: Dùng 10 giờ<br>Hộp sạc: 30 giờ,,,Các thiết bị hỗ trợ Bluetooth
14,49083,Tai nghe Bluetooth True Wireless Gaming ROG Cetra,ASUS,Tai nghe Bluetooth,2190000.0,"Bảo hành 24 tháng chính hãng, 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX.","Chống ồn, Điều khiển giọng nói, Có mic đàm thoại, Sạc không dây",Cảm ứng chạm,Có,Tai nghe: 5.5 giờ<br>Hộp sạc: 21.5 giờ ,,Tai nghe: 5 g<br/>Hộp sạc: 42 g, PC<br> MAC <br>Máy chơi game <br>Nintendo Switch <br>Các thiết bị có hỗ trợ Bluetooth
15,73013,Tai nghe Bluetooth True Wireless Sony WF-C510,Sony,Tai nghe Bluetooth,1690000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại",Nút bấm vật lý,Có,Tai nghe: 11 giờ<br>Hộp sạc: 11 giờ,,,Các thiết bị có hỗ trợ Bluetooth
16,16517,Tai nghe Bluetooth Apple AirPods 3 MagSafe | Chính hãng Apple Việt Nam,Apple Chính hãng,Tai nghe Bluetooth,4790000.0,Bảo hành 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành uỷ quyền CareS.vn,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại, Sạc không dây",Cảm biến lực,Có,Tai nghe: Dùng 6 giờ<br>Hộp sạc: Dùng 30 giờ,Tai nghe: 30.79 x 18.26 x 19.21 mm<br>Hộp sạc: 46.40 mm x 54.40 mm x 21.38 mm,Tai nghe: 4.28 gram<br>Hộp sạc: 37.91 gram,"iOS, macOS, Windows, Android"
17,63021,Tai nghe Bluetooth chụp tai Sony WH-CH520,Sony,Tai nghe Bluetooth,1290000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Có mic đàm thoại",Nút bấm vật lý,Có,40 giờ,,147 gram,Các thiết bị có hỗ trợ Bluetooth
18,61800,Tai nghe Bluetooth True Wireless Redmi Buds 4 Lite,Xiaomi,Tai nghe Bluetooth,790000,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Điều khiển giọng nói, Có mic đàm thoại",Cảm ứng chạm,Có,Tai nghe: 5 giờ<br>Hộp sạc: 20 giờ,Tai nghe: 32.24 × 18.22 × 19.63 mm <br>Hộp sạc: 55.6 × 47.3 × 22.2 mm,Tai nghe: 3.92 g<br>Hộp sạc: 26.7 g,Các thiết bị có hỗ trợ Bluetooth
19,26789,Tai nghe chụp tai chống ồn Apple AirPods Max 2024 | Chính hãng Apple Việt Nam,Apple Chính hãng,Tai nghe Bluetooth,13190000.0,Bảo hành 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành uỷ quyền CareS.vn,"Chống ồn, Xuyên âm, Có mic đàm thoại",C,Tám micrô dành cho tính năng Chủ Động Khử Tiếng Ồn<br> Ba micrô dành cho tính năng nhận diện giọng nói <b>(hai micrô dùng chung với tính năng Chủ Động Khử Tiếng Ồn và một micrô bổ sung),20 giờ,168.6 x 187.3 x 83.4 mm ,"386,2 gram",Các thiết bị có hỗ trợ Bluetooth
20,65519,Tai nghe Bluetooth True Wireless JBL Wave Beam,JBL,Tai nghe Bluetooth,1490000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,Có mic đàm thoại,Chạm cảm ứng hoặc App,Có (1 mic),Tai nghe: 8 giờ <br>Hộp sạc: 24 giờ,,Tai nghe: 8.8g (mỗi bên)<br>Hộp sạc: 39.5g,Các thiết bị có hỗ trợ Bluetooth
21,57700,Tai nghe Bluetooth True Wireless Havit TW945,Havit,Tai nghe Bluetooth,450000,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Có mic đàm thoại",Chạm cảm ứng,Có,Tai nghe: 3 giờ<br>Hộp sạc: 30 giờ,,36g,Các thiết bị có hỗ trợ Bluetooth
22,86386,Tai nghe Bluetooth True Wireless OPPO Enco Air3i - Chỉ có tại CellphoneS,OPPO,Tai nghe Bluetooth,1090000.0,Bảo hành 18 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX.,"Điều khiển giọng nói, Có mic đàm thoại",Cảm ứng chạm,Có,Tai nghe: 5.5 giờ <br>Hộp sạc: 35 giờ,Tai nghe: 35.9 mm<br> Hộp sạc: 62.71 mm,Tai nghe: 3.7 g<br> Hộp sạc: 40.2 g,Các thiết bị có hỗ trợ Bluetooth
23,85265,Tai nghe Bluetooth True Wireless Xiaomi Redmi Buds 6 Active,Xiaomi,Tai nghe Bluetooth,590000,Bảo hành 12 tháng 1 đổi 1. ,"Điều khiển giọng nói, Có mic đàm thoại",Cảm ứng chạm,Có,Tai nghe: 6 giờ<br>Hộp sạc:30 giờ,Tai nghe:32*17.8*18.5mm<br> Hộp sạc:49*48.6*23mm,4g,Các thiết bị có hỗ trợ Bluetooth
24,81845,Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 3 Pro,Samsung Chính hãng,Tai nghe Bluetooth,5490000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại",Cảm ứng chạm<br> Nhấn thanh bar,Có,Tai nghe: 7 giờ (Tắt ANC) / 6 giờ (Bật ANC)<br>Hộp sạc: 30 giờ (Tắt ANC) / 26 giờ (Bật ANC),Tai nghe: 18.1 x 19.8 x 33.2mm<br>Hộp sạc:58.9 x 48.7 x 24.4mm,Tai nghe: 5.4g<br>Hộp sạc: 46.5g,Các thiết bị có hỗ trợ Bluetooth
25,59767,Tai nghe Bluetooth True Wireless JBL Tune Flex - Chỉ có tại CellphoneS,JBL,Tai nghe Bluetooth,2690000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Xuyên âm, Có mic đàm thoại",Chạm cảm ứng,4 Micro,Tai nghe: 8 giờ<br>Hộp sạc: 24 giờ,,Tai nghe: 9.6g<br>Hộp sạc: 38.6g,Các thiết bị hỗ trợ Bluetooth
26,48855,Tai nghe Bluetooth True Wireless Huawei FreeBuds 5i,Huawei,Tai nghe Bluetooth,1790000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại",Cảm ứng chạm,Có,Tai nghe: 7.5 giờ <br>Hộp sạc: 28 giờ,Tai nghe: 30.9 x 21.7 x 23.9 mm<br>Hộp sạc: 48.2 x 61.8 x 26.9 mm,Tai nghe: 4.9 g ± 0.2 g <br>Hộp sạc: 33.9 g ± 1.0 g,Các thiết bị có hỗ trợ Bluetooth
27,69916,Tai nghe Bluetooth True Wireless Baseus Bowie E13,Baseus,Tai nghe Bluetooth,590000,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,Có mic đàm thoại,Cảm ứng chạm,Có,Tai nghe: 6 giờ<br>Hộp sạc: 30 giờ,Tai nghe: 50 × 51 × 26.5 mm<br>Hộp sạc: 80 × 83 × 35 mm,Tai nghe: 6 gram<br>Hộp sạc: 36.1 gram,Các thiết bị có hỗ trợ Bluetooth
28,42490,Tai nghe Bluetooth True Wireless Sony WF-1000XM5,Sony,Tai nghe Bluetooth,6990000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại, Sạc không dây",Chạm cảm ứng,Có,Tai nghe: 8 giờ (Bật ANC)<br>Hộp sạc: 24 giờ ,Hộp sạc: 64.6 x 40 x 26.5 mm,Tai nghe: 5.9 gram<br>Hộp sạc: 39 gram,Các thiết bị có hỗ trợ Bluetooth
29,62241,Tai nghe Bluetooth chụp tai Sony WH-CH720N,Sony,Tai nghe Bluetooth,2990000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại",Nút bấm vật lý,Có,Bật ANC: 35 giờ<br>Tắt ANC: 50 giờ,,192g,Các thiết bị có hỗ trợ Bluetooth<br>Kết nối có dây
30,8692,TAI NGHE APPLE EARPODS CỔNG LIGHTNING CHÍNH HÃNG - MWTY3ZA/A,Apple Chính hãng,Tai nghe có dây,790000,Bảo hành 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành uỷ quyền CareS.vn,Có mic đàm thoại,Nút bấm vật lý,Có,,,,
31,61535,Tai nghe Bluetooth True Wireless JBL Tune Beam,JBL,Tai nghe Bluetooth,2490000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại",Cảm ứng chạm,Có (4 mic),Tai nghe: 12 giờ<br>Hộp sạc: 36 giờ (Tắt ANC),,Tai nghe: 5g <br>Hộp sạc:  50.3 g,Các thiết bị có hỗ trợ Bluetooth
32,66775,Tai nghe Bluetooth True Wireless Huawei FreeBuds SE 2,Huawei,Tai nghe Bluetooth,790000,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Điều khiển giọng nói, Có mic đàm thoại",Cảm ứng chạm,Có,Tai nghe: 9 giờ<br>Hộp sạc: 40 giờ,Tai nghe: 3.8 ± 0.2 g <br>Hộp sạc: 33 ± 1 g,Tai nghe: 33.66 × 17.83 × 18.13 mm<br>Hộp sạc: 50.40 × 50.31 × 23.40 mm,Các thiết bị hỗ trợ Bluetooth
33,45201,Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 3,Samsung Chính hãng,Tai nghe Bluetooth,3990000.0,Bảo hành 12 tháng tại trung tâm bảo hành chính hãng . ,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại",Cảm ứng chạm<br>Nhấn thanh bar,Có,Tai nghe:6 giờ (Tắt ANC) / 5 giờ (Bật ANC)<br>Hộp sạc: 30 giờ (Tắt ANC) / 24 giờ (Bật ANC),Tai nghe: 18.1 x 20.4 x 31.9mm<br>Hộp sạc: 58.9 x 48.7 x 24.4mm,Tai nghe: 4.7g<br>Hộp sạc: 46.5g,Các thiết bị có hỗ trợ Bluetooth
34,71450,Tai nghe Bluetooth True Wireless Samsung Galaxy Buds FE,Samsung Chính hãng,Tai nghe Bluetooth,1990000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại",,Có,Tai nghe + Hộp sạc: 30 giờ ,Tai nghe: 19.2 x 17.1 x 22.2 mm<br>Hộp sạc: 50.0 x 50.0 x 27.7 mm,Tai nghe: 5.6g<br>Hộp sạc: 40g,Các thiết bị chạy hệ điều hành Android 8.0 trở lên
35,24065,Tai nghe Bluetooth JBL T115BT,JBL,Tai nghe Bluetooth,490000,Bảo hành 12 tháng tại CellphoneS. 1 đổi 1 trong 15 ngày nếu có lỗi nhà sản xuất. ,Có mic đàm thoại,Nút bấm vật lý,Có,8 giờ,10 x 3.5 x 16 cm,19.02 g,Các thiết bị có hỗ trợ Bluetooth
36,54803,Tai nghe Bluetooth chụp tai Havit H630BT,Havit,Tai nghe Bluetooth,690000,Bảo hành 1 đổi 1 trong 12 tháng.,Có mic đàm thoại,,Có,55 giờ,,225g,Các thiết bị có hỗ trợ Bluetooth
37,63840,Tai nghe Bluetooth True Wireless Soul S-LIVE 30,SOUL,Tai nghe Bluetooth,690000,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Có mic đàm thoại",,Có,Tai nghe: 8 giờ<br>Hộp sạc: 30 giờ,,,Các thiết bị có hỗ trợ Bluetooth
38,71453,Tai nghe Bluetooth True Wireless Xiaomi Redmi Buds 5,Xiaomi,Tai nghe Bluetooth,1090000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Có mic đàm thoại",Cảm ứng chạm,Có,Tai nghe: 10 giờ<br>Hộp sạc: 40 giờ,,,Các thiết bị hỗ trợ Bluetooth
39,65514,Tai nghe Bluetooth chụp tai JBL Tune 520BT,JBL,Tai nghe Bluetooth,1390000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Điều khiển giọng nói, Có mic đàm thoại",Nút nhấn vật lý,Có (1 mic),57 giò,,157g,Các thiết bị có hỗ trợ Bluetooth
40,70296,Tai nghe Apple EarPods USB-C MTJY3ZA/A | Chính hãng Apple Việt Nam,Apple Chính hãng,Tai nghe có dây,550000,Bảo hành 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành uỷ quyền CareS.vn,Có mic đàm thoại,Nút bấm vật lý,Có,,,,Mac có cổng USB-C chạy macOS Monterey 12.6 trở lên<br>iPad có cổng USB-C chạy iPadOS 16.4 trở lên<br>iPhone có cổng USB-C chạy iOS 17 trở lên
41,59514,Tai nghe Bluetooth True Wireless Marshall Minor IV,Marshall,Tai nghe Bluetooth,3690000.0,Bảo hành 1 ĐỔI 1 12 tháng tại trung tâm bảo hành chính hãng. ,"Chống ồn, Điều khiển giọng nói, Có mic đàm thoại, Sạc không dây",Cảm ứng chạm ,Có,Tai nghe: 7 giờ<br>Hộp sạc: 30 giờ,,Tai nghe: 7.39 g<br>Hộp sạc: 39.41 g ,Các thiết bị có hỗ trợ Bluetooth
42,50293,Tai nghe Bluetooth chụp tai Edifier W820NB,Edifier,Tai nghe Bluetooth,1440000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Xuyên âm, Có mic đàm thoại",Nút bấm vật lý,Có,49 giờ,,220g,Các thiết bị có hỗ trợ Bluetooth
43,73918,Tai nghe Bluetooth thể thao SoundPEATS GoFree2,Soundpeats,Tai nghe Bluetooth,2150000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Điều khiển giọng nói, Có mic đàm thoại",Chạm hoặc Ứng dụng,Có<br>4 micro,Tai nghe: 9 giờ<br>Hộp sạc: 35 giờ,Tai nghe: 49.84 x 38.56 x 22.24mm <br>Hộp sạc: 84.4 x 65.3 x 28.9mm,Tai nghe: 9g <br>Hộp sạc: 71g,Các thiết bị hỗ trợ Bluetooth
44,22714,Tai nghe Bluetooth chụp tai Sony WH-1000XM4,Sony,Tai nghe Bluetooth,6690000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Có mic đàm thoại",Cảm ứng chạm,Có,Bật chống ồn: 30 giờ<br>Tắt chống ồn: 38 giờ,10 x 7.2 x 5.1 cm,254 g,Các thiết bị có hỗ trợ Bluetooth và NFC
45,75875,Tai nghe Bluetooth True Wireless SoundPEATS Air4 Pro,Soundpeats,Tai nghe Bluetooth,1990000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Có mic đàm thoại",Cảm ứng chạm,Có<br>6 micro,Tai nghe: 6 giờ<br>Hộp sạc: 26 giờ ,,,Các thiết bị có hỗ trợ Bluetooth
46,86781,Tai nghe Bluetooth True Wireless Xiaomi Buds 5 ,Xiaomi,Tai nghe Bluetooth,2490000.0,Bảo hành 12 tháng tại trung tâm bảo hành Chính hãng. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. ,"Chống ồn, Điều khiển giọng nói, Có mic đàm thoại",Cảm ứng chạm,Có,Tai nghe: 6.5 giờ<br> Hộp sạc: 39 giờ (Tắt ANC),,Tai nghe: 4.2g,Các thiết bị hỗ trợ Bluetooth
47,87384,Tai nghe có dây Gaming Havit FUXI-H5D,Havit,Tai nghe có dây,500000,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,Có mic đàm thoại,,Có,,75*175*180mm,273 gram,"PS4, PS5, XBOX  "
48,37786,Tai nghe Bluetooth True Wireless LG Tone Free FP8,LG,Tai nghe Bluetooth,4190000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại",Cảm ứng chạm ,Có,Tai nghe: 10 giờ <br>Hộp sạc: 24 giờ ,Tai nghe: 21.2 x 28.3 x 23.2 mm<br>Hộp sạc: 54.5 x 54.5 x 30 mm,Tai nghe: 5.2 g<br>Hộp sạc: 36.7 g,Các thiết bị có hỗ trợ Bluetooth
49,30614,Tai nghe Bluetooth chụp tai Marshall Major 4 ,Marshall,Tai nghe Bluetooth,4290000.0,Bảo hành 1 ĐỔI 1 12 tháng tại trung tâm bảo hành chính hãng. ,"Có mic đàm thoại, Sạc không dây",Núm điều khiển,Có,80 giờ,Driver 40mm,165 g,Các thiết bị có hỗ trợ Bluetooth và cổng aux cắm dây 3.5 mm  
50,70346,Tai nghe Bluetooth True Wireless Havit TW958 Pro,Havit,Tai nghe Bluetooth,990000,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Có mic đàm thoại",,Có<br>2 mic ENC + ANC,Tai nghe: 7 giờ<br>Hộp sạc: 32 giờ,,,Các thiết bị hỗ trợ Bluetooth
51,81540,Tai nghe Bluetooth chụp tai Baseus Bass 35 Max,Baseus,Tai nghe Bluetooth,900000,Bảo hành 1 đổi 1 trong 12 tháng.,"Chống ồn, Điều khiển giọng nói, Có mic đàm thoại",,Có,50 giờ,,,Các thiết bị có hỗ trợ Bluetooth
52,73140,Tai nghe Bluetooth True Wireless Xiaomi Redmi Buds 5 Pro,Xiaomi,Tai nghe Bluetooth,1990000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Có mic đàm thoại, Sạc không dây",Cảm ứng chạm,Có (3 micro),Tai nghe: 10 giờ<br>Hộp sạc: 38 giờ (tắt chống ồn),,,Các thiết bị có hỗ trợ Bluetooth
53,40368,Tai nghe KZ EDX Pro,KZ,Tai nghe có dây,350000,Bảo hành 12 tháng 1 đổi 1. ,"Chống ồn, Có mic đàm thoại",Nút bấm vật lý,Có,,,,Các thiết bị có hỗ trợ cổng 3.5 mm
54,65106,Tai nghe Bluetooth True Wireless Havit TW969,Havit,Tai nghe Bluetooth,590000,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,Có mic đàm thoại,Cảm ứng chạm,Có + ENC,Tai nghe: 7.5 giờ<br>Hộp sạc: 23 giờ,Tai nghe: 19.5 x 17 x 21.3 mm<br>Hộp sạc: 48 x 48 x 29.5 mm,,Các thiết bị có hỗ trợ Bluetooth
